"filename", "language", "HTML", "JavaScript", "PHP", "Markdown", "CSS", "SCSS", "JSON", "Less", "XML", "comment", "blank", "total"
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\README.md", "Markdown", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8, 16
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\css\animcircles.css", "CSS", 0, 0, 0, 0, 123, 0, 0, 0, 0, 6, 20, 149
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\css\bglines.css", "CSS", 0, 0, 0, 0, 231, 0, 0, 0, 0, 0, 29, 260
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\css\hint.css", "CSS", 0, 0, 0, 0, 398, 0, 0, 0, 0, 139, 132, 669
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\css\spantooltips.css", "CSS", 0, 0, 0, 0, 135, 0, 0, 0, 0, 9, 17, 161
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\css\style.css", "CSS", 0, 0, 0, 0, 1010, 0, 0, 0, 0, 59, 189, 1258
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\js\main.js", "JavaScript", 0, 178, 0, 0, 0, 0, 0, 0, 0, 46, 34, 258
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap-awesome\css\all.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 5, 0, 6
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap-icons\bootstrap-icons.css", "CSS", 0, 0, 0, 0, 2070, 0, 0, 0, 0, 5, 4, 2079
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap-icons\bootstrap-icons.json", "JSON", 0, 0, 0, 0, 0, 0, 2052, 0, 0, 0, 0, 2052
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap-icons\bootstrap-icons.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 5
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap-icons\bootstrap-icons.scss", "SCSS", 0, 0, 0, 0, 0, 2080, 0, 0, 0, 5, 6, 2091
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\css\bootstrap-grid.css", "CSS", 0, 0, 0, 0, 3886, 0, 0, 0, 0, 6, 193, 4085
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\css\bootstrap-grid.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 5, 0, 6
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\css\bootstrap-grid.rtl.css", "CSS", 0, 0, 0, 0, 3886, 0, 0, 0, 0, 6, 192, 4084
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\css\bootstrap-grid.rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 5, 0, 6
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\css\bootstrap-reboot.css", "CSS", 0, 0, 0, 0, 518, 0, 0, 0, 0, 14, 65, 597
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\css\bootstrap-reboot.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 5, 0, 6
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\css\bootstrap-reboot.rtl.css", "CSS", 0, 0, 0, 0, 524, 0, 0, 0, 0, 6, 64, 594
